Fre	Mag	Pha	Times
2499	3499.16	1499.16	1183
2432	3431.91	1431.91	1183
3538	4538.19	2538.19	1183
3000	4000.00	2000.00	1181
3973	4973.37	2973.37	1184
2640	3640.24	1640.24	1189
2238	3237.95	1237.95	1183
3919	4918.65	2918.65	1184
3131	4130.77	2130.77	1191
2436	3436.14	1436.14	1189
3950	4949.64	2949.64	1184
2457	3456.90	1456.90	1189
3922	4922.48	2922.48	1186
2532	3532.29	1532.29	1189
3885	4885.25	2885.25	1186
3841	4841.25	2841.25	1186
3400	4400.19	2400.19	1189
2035	3034.96	1034.96	1185
2741	3740.71	1740.71	1191
2183	3183.18	1183.18	1186
2580	3580.19	1580.19	1191
3383	4383.36	2383.36	1191
2015	3014.75	1014.75	1184
3215	4214.93	2214.93	1191
3038	4037.87	2037.87	1188
2826	3826.03	1826.03	1191
3006	4005.84	2005.84	1188
2356	3356.22	1356.22	1192
2432	3431.91	1431.91	1192
3677	4676.61	2676.61	1192
3604	4603.51	2603.51	1192
2095	3095.27	1095.27	1186
2657	3657.37	1657.37	1191
3319	4318.65	2318.65	1189
2499	3499.16	1499.16	1192
3538	4538.19	2538.19	1192
2140	3139.53	1139.53	1190
2292	3291.86	1291.86	1192
2180	3179.83	1179.83	1183
3733	4733.03	2733.03	1192
3044	4043.70	2043.70	1191
3298	4297.52	2297.52	1191
3999	4998.91	2998.91	1185
3463	4462.54	2462.54	1192
2832	3831.78	1831.78	1188
3630	4629.67	2629.67	1187
3993	4992.99	2992.99	1185
2913	3912.68	1912.68	1191
2133	3133.00	1133.00	1184
2808	3808.04	1808.04	1188
2723	3723.08	1723.08	1189
3979	4978.88	2978.88	1185
2918	3918.50	1918.50	1188
3771	4770.82	2770.82	1190
3733	4733.03	2733.03	1183
3235	4234.66	2234.66	1189
3734	4734.37	2734.37	1186
3149	4148.89	2148.89	1188
2004	3003.57	1003.57	1185
2405	3404.88	1404.88	1187
2136	3135.93	1135.93	1186
2062	3061.53	1061.53	1185
3296	4295.68	2295.68	1187
3211	4211.13	2211.13	1188
2746	3746.35	1746.35	1187
2554	3553.76	1553.76	1187
3378	4377.96	2377.96	1187
3695	4695.10	2695.10	1186
2477	3477.32	1477.32	1187
3485	4484.92	2484.92	1187
3559	4559.43	2559.43	1187
2894	3894.47	1894.47	1188
3794	4794.39	2794.39	1192
2133	3133.00	1133.00	1193
3000	4000.00	2000.00	1191
3888	4887.94	2887.94	1193
2038	3037.57	1037.57	1184
2015	3014.75	1014.75	1193
3999	4999.17	2999.17	1194
2004	3003.57	1003.57	1194
3999	4998.91	2998.91	1194
2003	3002.79	1002.79	1194
3993	4992.99	2992.99	1194
2013	3013.12	1013.12	1194
3844	4844.39	2844.39	1193
3979	4978.88	2978.88	1194
2035	3034.96	1034.96	1194
3953	4952.66	2952.66	1194
2237	3236.67	1236.67	1186
3870	4869.89	2869.89	1190
2274	3274.15	1274.15	1186
2187	3187.30	1187.30	1190
3910	4909.64	2909.64	1190
2337	3336.98	1336.98	1187
3823	4823.50	2823.50	1190
2098	3098.33	1098.33	1190
2000	3000.00	1000.00	1185
3844	4844.39	2844.39	1184
3794	4794.39	2794.39	1183
2003	3002.79	1002.79	1185
3888	4887.94	2887.94	1184
2062	3061.53	1061.53	1195
3992	4991.79	2991.79	1194
3093	4093.13	2093.13	1188
2238	3237.95	1237.95	1192
3125	4124.98	2124.98	1188
2950	3950.47	1950.47	1188
2065	3064.96	1064.96	1184
3506	4505.88	2505.88	1189
3999	4999.17	2999.17	1185
3992	4991.79	2991.79	1184
3953	4952.66	2952.66	1185
2013	3013.12	1013.12	1185
2663	3662.86	1662.86	1187
3579	4579.27	2579.27	1189
2093	3092.80	1092.80	1184
2366	3366.18	1366.18	1190
3712	4712.25	2712.25	1190
2301	3301.07	1301.07	1190
3791	4790.83	2790.83	1186
2241	3241.29	1241.29	1190
3648	4648.24	2648.23	1189
3922	4922.48	2922.48	1195
2180	3179.83	1179.83	1193
2095	3095.27	1095.27	1195
3885	4885.25	2885.25	1195
3791	4790.83	2790.83	1195
2237	3236.67	1236.67	1195
3734	4734.37	2734.37	1195
2274	3274.15	1274.15	1195
3695	4695.10	2695.10	1196
3630	4629.67	2629.67	1196
2337	3336.98	1336.98	1196
3559	4559.43	2559.43	1196
2405	3404.88	1404.88	1196
2477	3477.32	1477.32	1196
2000	3000.00	1000.00	1194
3973	4973.37	2973.37	1193
2038	3037.57	1037.57	1193
3950	4949.64	2949.64	1193
2065	3064.96	1064.96	1193
3919	4918.65	2918.65	1193
2093	3092.80	1092.80	1193
3485	4484.92	2484.92	1196
2554	3553.76	1553.76	1196
2136	3135.93	1135.93	1195
3378	4377.96	2377.96	1196
2183	3183.18	1183.18	1195
2663	3662.86	1662.86	1196
