Fre	Mag	Pha	Times
2741	3740.71	1740.71	309
3383	4383.36	2383.36	600
2913	3912.68	1912.68	927
3044	4043.70	2043.70	927
2826	3826.03	1826.03	927
3215	4214.93	2214.93	927
3000	4000.00	2000.00	927
2580	3580.19	1580.19	928
3000	4000.00	2000.00	927
3044	4043.70	2043.70	927
3131	4130.77	909.64	927
2098	3098.33	1098.33	927
2741	3740.71	1740.71	927
3298	4297.52	2297.52	928
2657	3657.37	1657.37	928
3604	4603.51	2603.51	928
2356	3356.22	1356.22	928
3383	4383.36	2383.36	928
3463	4462.54	2462.54	928
2499	3499.16	1499.16	928
3538	4538.19	2538.19	928
2432	3431.91	1431.91	928
2000	3000.00	1000.00	930
3950	4949.64	2949.64	930
2065	3064.96	1064.96	929
2093	3092.80	1092.80	929
3794	4794.39	2794.39	929
3888	4887.94	2887.94	929
2292	3291.86	1291.86	929
2133	3133.00	1133.00	929
3992	4991.79	2991.79	930
3677	4676.61	2676.61	928
2180	3179.83	1179.83	929
3733	4733.03	2733.03	929
2003	3002.79	1002.79	930
3993	4992.99	2992.99	930
2015	3014.75	1014.75	930
3844	4844.39	2844.39	929
2238	3237.95	1237.95	929
3999	4998.91	2998.91	930
2004	3003.57	1003.57	930
2038	3037.57	1037.57	930
3999	4999.17	2999.17	930
3919	4918.65	2918.65	929
3559	4559.43	2559.43	932
2035	3034.96	1034.96	931
3044	4043.70	2043.70	1182
