Fre	Mag	Pha	Times
3791	4790.83	2790.83	13
2237	3236.67	1236.67	13
3734	4734.37	2734.37	14
2274	3274.15	1274.15	14
2477	3477.32	1477.32	14
2554	3553.76	1553.76	14
3378	4377.96	2377.96	14
2918	3918.50	1918.50	15
3038	4037.87	2037.87	15
2894	3894.47	1894.47	16
2808	3808.04	1808.04	16
3235	4234.66	2234.66	16
3712	4712.25	2712.25	17
3823	4823.50	2823.50	17
3463	4462.54	2462.54	19
2499	3499.16	1499.16	19
2180	3179.83	1179.83	20
3844	4844.39	2844.39	20
2133	3133.00	1133.00	20
2065	3064.96	1064.96	20
3950	4949.64	2949.64	20
3999	4998.91	2998.91	21
2013	3013.12	1013.12	21
3791	4790.83	2790.83	22
3378	4377.96	2377.96	24
3038	4037.87	2037.87	24
2723	3723.08	1723.08	25
3604	4603.51	2603.51	28
2292	3291.86	1291.86	29
2366	3366.18	1366.18	26
3870	4869.89	2869.89	27
3298	4297.52	2297.52	28
3823	4823.50	2823.50	26
3910	4909.64	2909.64	27
2098	3098.33	1098.33	27
2301	3301.07	1301.07	26
2062	3061.53	1061.53	22
3919	4918.65	2918.65	29
3999	4999.17	2999.17	30
3695	4695.10	2695.10	32
2554	3553.76	1553.76	33
3823	4823.50	2823.50	35
3870	4869.89	2869.89	36
3910	4909.64	2909.64	36
3463	4462.54	2462.54	37
2292	3291.86	1291.86	38
3604	4603.51	2603.51	37
2432	3431.91	1431.91	37
3383	4383.36	2383.36	37
2238	3237.95	1237.95	38
3922	4922.48	2922.48	40
3794	4794.39	2794.39	38
2356	3356.22	1356.22	37
3538	4538.19	2538.19	37
2499	3499.16	1499.16	37
2657	3657.37	1657.37	37
2741	3740.71	1740.71	37
3215	4214.93	2214.93	36
2913	3912.68	1912.68	36
3677	4676.61	2676.61	38
2095	3095.27	1095.27	40
3298	4297.52	2297.52	46
2095	3095.27	1095.27	49
2004	3003.57	1003.57	48
3844	4844.39	2844.39	47
2000	3000.00	1000.00	48
3999	4999.17	2999.17	48
3919	4918.65	2918.65	48
2292	3291.86	1291.86	47
3999	4998.91	2998.91	48
2133	3133.00	1133.00	47
2038	3037.57	1037.57	48
3992	4991.79	2991.79	48
2015	3014.75	1014.75	48
3950	4949.64	2949.64	48
2093	3092.80	1092.80	47
2065	3064.96	1064.96	48
3973	4973.37	2973.37	48
2238	3237.95	1237.95	47
3888	4887.94	2887.94	47
3485	4484.92	2484.92	51
3006	4005.84	2005.84	52
3794	4794.39	2794.39	47
3319	4318.65	2318.65	52
2366	3366.18	1366.18	53
3823	4823.50	2823.50	54
3910	4909.64	2909.64	54
2826	3826.03	1826.03	55
2432	3431.91	1431.91	55
2663	3662.86	1662.86	60
3125	4124.98	2124.98	60
2918	3918.50	1918.50	61
2136	3135.93	1135.93	59
2013	3013.12	1013.12	58
2004	3003.57	1003.57	57
2015	3014.75	1014.75	57
3992	4991.79	2991.79	57
3993	4992.99	2992.99	58
3922	4922.48	2922.48	58
2095	3095.27	1095.27	58
3885	4885.25	2885.25	58
3953	4952.66	2952.66	58
3841	4841.25	2841.25	59
2062	3061.53	1061.53	58
2003	3002.79	1002.79	58
3999	4999.17	2999.17	57
2035	3034.96	1034.96	58
3979	4978.88	2978.88	58
2000	3000.00	1000.00	57
3999	4998.91	2998.91	58
2808	3808.04	1808.04	61
2640	3640.24	1640.24	62
2436	3436.14	1436.14	62
2301	3301.07	1301.07	62
