Fre	Mag	Pha
2477	3477.32	1477.32
3296	4295.68	2295.68
3211	4211.13	2211.13
2894	3894.47	1894.47
3400	4400.19	2400.19
3648	4648.24	2648.23
2187	3187.30	1187.30
2826	3826.03	1826.03
3298	4297.52	2297.52
2657	3657.37	1657.37
3383	4383.36	2383.36
2580	3580.19	1580.19
3538	4538.19	2538.19
2432	3431.91	1431.91
2003	3002.79	1002.79
2013	3013.12	1013.12
3979	4978.88	2978.88
2035	3034.96	1034.96
3922	4922.48	2922.48
2095	3095.27	1095.27
3841	4841.25	2841.25
3630	4629.67	2629.67
3485	4484.92	2484.92
2663	3662.86	1662.86
3296	4295.68	2295.68
3579	4579.27	2579.27
2292	3291.86	1291.86
2356	3356.22	1356.22
3992	4991.79	2991.79
3919	4918.65	2918.65
3733	4733.03	2733.03
3677	4676.61	2676.61
2093	3092.80	1092.80
2065	3064.96	1064.96
3844	4844.39	2844.39
2004	3003.57	1003.57
2133	3133.00	1133.00
3950	4949.64	2949.64
2015	3014.75	1014.75
2238	3237.95	1237.95
3794	4794.39	2794.39
3870	4869.89	2869.89
3910	4909.64	2909.64
2140	3139.53	1139.53
2180	3179.83	1179.83
2098	3098.33	1098.33
3000	4000.00	2000.00
3131	4130.77	2130.77
2913	3912.68	1912.68
3044	4043.70	2043.70
3215	4214.93	2214.93
2826	3826.03	1826.03
2741	3740.71	1740.71
3298	4297.52	2297.52
2657	3657.37	1657.37
3383	4383.36	2383.36
2499	3499.16	1499.16
2580	3580.19	1580.19
3463	4462.54	2462.54
3538	4538.19	2538.19
2432	3431.91	1431.91
2093	3092.80	1092.80
3950	4949.64	2949.64
2038	3037.57	1037.57
3992	4991.79	2991.79
2004	3003.57	1003.57
3999	4998.91	2998.91
3922	4922.48	2922.48
2095	3095.27	1095.27
2180	3179.83	1179.83
2133	3133.00	1133.00
2093	3092.80	1092.80
3919	4918.65	2918.65
2065	3064.96	1064.96
3695	4695.10	2695.10
3400	4400.19	2400.19
2532	3532.29	1532.29
3579	4579.27	2579.27
3648	4648.24	2648.23
2095	3095.27	1095.27
2950	3950.47	1950.47
2894	3894.47	1894.47
2918	3918.50	1918.50
3378	4377.96	2377.96
2950	3950.47	1950.47
2746	3746.35	1746.35
2405	3404.88	1404.88
3630	4629.67	2629.67
2477	3477.32	1477.32
2663	3662.86	1662.86
3559	4559.43	2559.43
3093	4093.13	2093.13
2832	3831.78	1831.78
3125	4124.98	2124.98
3006	4005.84	2005.84
2554	3553.76	1553.76
2723	3723.08	1723.08
3823	4823.50	2823.50
3319	4318.65	2318.65
2640	3640.24	1640.24
2532	3532.29	1532.29
2894	3894.47	1894.47
